word,pitch,energy,duration,label
"Printing,",1144.3114,0.11575139,0.3575949074074074,1
in,772.87115,0.063802145,0.3575949074074074,0
the,777.15735,0.053698894,0.3575949074074074,0
only,873.62555,0.1346836,0.3575949074074074,1
sense,1061.6082,0.07444448,0.3575949074074074,1
with,759.2777,0.04810515,0.3575949074074074,0
which,1924.392,0.07152786,0.3575949074074074,1
we,1107.0432,0.09749182,0.3575949074074074,1
are,1523.2823,0.08824884,0.3575949074074074,1
at,1772.4425,0.04430948,0.3575949074074074,1
present,1053.4457,0.059196565,0.3575949074074074,0
"concerned,",1357.7239,0.002829754,0.3575949074074074,0
differs,780.9824,0.089582264,0.3575949074074074,1
from,689.51874,0.07429898,0.3575949074074074,0
most,1435.1888,0.09597913,0.3575949074074074,1
if,861.6876,0.08578607,0.3575949074074074,1
not,1802.0742,0.068724744,0.3575949074074074,1
from,1154.7993,0.05692782,0.3575949074074074,0
all,666.0962,0.18553902,0.3575949074074074,1
the,815.7166,0.07039277,0.3575949074074074,0
arts,1074.5828,0.087557726,0.3575949074074074,1
and,1984.0472,0.031440582,0.3575949074074074,1
crafts,1155.564,0.08773431,0.3575949074074074,1
represented,952.1322,0.03876346,0.3575949074074074,0
in,1096.1956,0.07269025,0.3575949074074074,1
the,1654.4954,0.045581903,0.3575949074074074,1
Exhibition,1743.0354,0.035595354,0.3575949074074074,0
in,1150.6714,0.10019345,0.474890625,1
being,1430.8984,0.07664777,0.474890625,1
comparatively,668.7025,0.06591163,0.474890625,1
modern.,705.8341,0.053682648,0.474890625,1
For,1158.1794,0.2685961,0.40277604166666664,1
although,1643.7185,0.122001216,0.40277604166666664,1
the,1141.5289,0.07813617,0.40277604166666664,1
Chinese,1398.9033,0.06905185,0.40277604166666664,1
took,1670.1438,0.06834667,0.40277604166666664,1
impressions,2059.7498,0.029060664,0.40277604166666664,1
from,540.0552,0.09595675,0.40277604166666664,1
wood,750.1641,0.082898006,0.40277604166666664,1
blocks,1970.0398,0.045452032,0.40277604166666664,1
engraved,1607.6997,0.05398421,0.40277604166666664,1
in,1478.4193,0.13201836,0.40277604166666664,1
relief,824.0204,0.075309105,0.40277604166666664,1
for,1928.7069,0.025514632,0.40277604166666664,1
centuries,1602.7646,0.09863457,0.40277604166666664,1
before,1345.0059,0.063424036,0.40277604166666664,1
the,1052.5481,0.10817875,0.40277604166666664,1
woodcutters,1195.712,0.105467,0.40277604166666664,1
of,766.9999,0.11168774,0.40277604166666664,1
the,796.1431,0.068519175,0.40277604166666664,0
"Netherlands,",2023.0609,0.03843059,0.40277604166666664,1
by,1195.5991,0.072257906,0.40277604166666664,1
a,658.4507,0.10049398,0.40277604166666664,1
similar,1247.5005,0.035778996,0.40277604166666664,0
process,1286.7692,0.053078867,0.40277604166666664,1
produced,1524.177,0.07961101,0.3670535714285714,1
the,1975.1532,0.02633868,0.3670535714285714,1
block,852.67096,0.10186625,0.3670535714285714,1
"books,",990.0043,0.0800026,0.3670535714285714,1
which,1027.3096,0.017695183,0.3670535714285714,0
were,1770.2811,0.09046781,0.3670535714285714,1
the,759.3505,0.07433138,0.3670535714285714,0
immediate,1847.4263,0.059444547,0.3670535714285714,1
predecessors,820.8869,0.09230596,0.3670535714285714,1
of,727.0374,0.06395138,0.3670535714285714,0
the,1814.0637,0.0433574,0.3670535714285714,1
true,1485.7223,0.062740006,0.3670535714285714,1
printed,1049.7992,0.04596713,0.3670535714285714,0
"book,",969.714,0.06569154,0.3670535714285714,0
the,1405.9834,0.108265944,0.3244375,1
invention,2039.6073,0.10192407,0.3244375,1
of,633.2333,0.07604883,0.3244375,0
movable,481.55563,0.11255691,0.3244375,0
metal,874.52466,0.08147092,0.3244375,0
letters,847.1513,0.108979136,0.3244375,1
in,775.8851,0.062889315,0.3244375,0
the,517.7832,0.08409053,0.3244375,0
middle,1448.1714,0.040261246,0.3244375,0
of,2204.166,0.03780153,0.3244375,1
the,758.8881,0.04638971,0.3244375,0
fifteenth,2037.8745,0.07267904,0.3244375,1
century,1487.4456,0.0055271634,0.3244375,0
may,1659.2142,0.05889407,0.3244375,1
justly,944.46826,0.1103751,0.3244375,1
be,1222.4814,0.05248986,0.3244375,0
considered,542.95386,0.070296936,0.3244375,0
as,1334.1044,0.044886574,0.3244375,0
the,1371.9775,0.0339763,0.3244375,0
invention,687.02655,0.096922755,0.3244375,0
of,1611.826,0.08590896,0.3244375,1
the,795.5479,0.039256115,0.3244375,0
art,992.97955,0.06324989,0.3244375,0
of,1644.6222,0.03314355,0.3244375,0
printing.,842.1107,0.025062798,0.3244375,0
And,1576.9498,0.08588641,0.40603124999999995,1
it,1492.0573,0.07252951,0.40603124999999995,1
is,987.6219,0.07781081,0.40603124999999995,1
worth,1770.0325,0.06402976,0.40603124999999995,1
mention,1301.2112,0.055968784,0.40603124999999995,1
in,884.1332,0.059149083,0.40603124999999995,0
passing,1885.66,0.011530956,0.40603124999999995,1
"that,",1141.5848,0.10142605,0.40603124999999995,1
as,741.1705,0.071674556,0.40603124999999995,1
an,1311.2249,0.083261,0.40603124999999995,1
example,876.1058,0.079542175,0.40603124999999995,1
of,1414.4938,0.09317946,0.40603124999999995,1
fine,930.83264,0.09379801,0.40603124999999995,1
"typography,",1744.3478,0.032836612,0.40603124999999995,1
the,862.8876,0.11622174,0.52434765625,1
earliest,744.4982,0.09027717,0.52434765625,1
book,1044.5872,0.053880785,0.52434765625,1
printed,574.5539,0.08139338,0.52434765625,1
with,1280.4683,0.09090476,0.52434765625,1
movable,1478.2048,0.020246197,0.52434765625,1
"types,",1054.9366,0.10383977,0.52434765625,1
the,798.5818,0.07017177,0.52434765625,1
"Gutenberg,",1217.178,0.0782798,0.52434765625,1
or,1685.1956,0.08655329,0.52434765625,1
"""forty-two",874.8766,0.09149721,0.52434765625,1
line,1043.2797,0.07755233,0.52434765625,1
"Bible""",917.174,0.15509629,0.52434765625,1
of,1537.8734,0.05628881,0.52434765625,1
about,2008.0061,0.053036842,0.52434765625,1
"1455,",1333.3429,0.07144484,0.52434765625,1
has,984.61847,0.1245225,0.445875,1
never,1433.2178,0.0915997,0.445875,1
been,1408.9419,0.049455993,0.445875,1
surpassed.,1932.1875,0.022907892,0.445875,1
"Printing,",1277.753,0.17465605,0.3975592105263158,1
"then,",1110.807,0.13445002,0.3975592105263158,1
for,1047.8959,0.09868937,0.3975592105263158,1
our,1008.54083,0.1049118,0.3975592105263158,1
"purpose,",903.6,0.09671546,0.3975592105263158,1
may,1501.6185,0.0022106965,0.3975592105263158,0
be,1479.0746,0.058723286,0.3975592105263158,1
considered,551.07806,0.09782568,0.3975592105263158,1
as,956.33887,0.095520504,0.3975592105263158,1
the,1213.4788,0.08794239,0.3975592105263158,1
art,926.2558,0.044295415,0.3975592105263158,0
of,1440.8977,0.059316076,0.3975592105263158,1
making,924.9238,0.045073565,0.3975592105263158,0
books,664.1624,0.033371948,0.3975592105263158,0
by,1384.9529,0.098507725,0.3975592105263158,1
means,528.41315,0.074599065,0.3975592105263158,0
of,539.6849,0.0881153,0.3975592105263158,1
movable,1286.8539,0.044487122,0.3975592105263158,0
types.,935.28973,0.031455725,0.3975592105263158,0
"Now,",1330.181,0.083715424,0.5187720588235294,1
as,1225.1829,0.08713677,0.5187720588235294,1
all,663.0063,0.13241485,0.5187720588235294,1
books,796.7716,0.0470463,0.5187720588235294,1
not,1342.7219,0.09719941,0.5187720588235294,1
primarily,889.85785,0.08191611,0.5187720588235294,1
intended,1037.998,0.09240252,0.5187720588235294,1
as,1718.94,0.063065544,0.5187720588235294,1
